Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],PLENUMTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],PLENUMTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],PLENUMTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],PLENUMTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C],PLENUMTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,79.27253220817774,83.39703810279765,27.11367989772489,25.698142415291205,27.05856597412988,25.733512203058684,24.642456416309006,24.63069363223477,23.2914422713677,23.279679487293464
2006-Jan-01 02:00:00,82.3460429765602,90.36578313718212,26.63490996129558,24.537048309277882,26.635643023328726,24.594237714247594,23.98412308297567,23.972360298901435,23.241227107542258,23.229464323468022
2006-Jan-01 03:00:00,84.26105637666595,94.58772410361445,26.258769456759925,23.806234997552973,26.257374533686647,23.86387525016643,23.84245641630901,23.83069363223477,23.174661738626778,23.162898954552542
2006-Jan-01 04:00:00,85.86962624163726,97.61192751622359,25.941704194632106,23.3018126613707,25.93048569305911,23.351798379027155,23.742456416309007,23.73069363223477,23.127976291303053,23.116213507228817
2006-Jan-01 05:00:00,87.19114258291165,99.775511762262,25.63355189398605,22.820591453153753,25.6159650398878,22.860434327255522,23.584123082975676,23.572360298901444,23.043825136930177,23.03206235285594
2006-Jan-01 06:00:00,88.57291713772103,100.0,25.313710368206625,22.270231008330242,25.289473284428393,22.29727992897733,23.442456416309003,23.430693632234775,22.95515504062867,22.943392256554436
2006-Jan-01 07:00:00,89.91675339989966,99.861219450154,25.037184094085223,22.063772514206903,25.003435597706815,22.103653615819542,24.042456416309008,24.030693632234772,23.180867884780678,23.169105100706442
2006-Jan-01 08:00:00,89.20869086615029,91.36898889100985,25.26820583237718,24.022965773397928,25.15008334952559,24.368050131913815,25.200789749642343,25.189026965568104,23.660730657102587,23.64896787302835
2006-Jan-01 09:00:00,86.12135491401791,70.63497230030971,26.06157846551218,28.89367491465138,26.08235305407834,29.89186966406228,26.34245641630901,26.33069363223477,24.156101705179665,24.14433892110543
2006-Jan-01 10:00:00,81.01468825918728,51.947181392109265,27.34769756683343,34.63182897840994,27.454492027057444,35.96489233442183,27.44245641630901,27.430693632234767,24.541091929956043,24.529329145881807
2006-Jan-01 11:00:00,75.67973611931436,40.20724974646562,28.687485907299095,39.492714605646114,28.845033175082335,41.02037708246048,28.484123082975675,28.472360298901435,24.939224715507365,24.92746193143313
2006-Jan-01 12:00:00,71.86592717801595,35.01059821537073,29.85295197153154,42.34204436634694,29.911949134623583,43.74783868642741,29.542456416309008,29.530693632234772,25.35083822863231,25.339075444558073
2006-Jan-01 13:00:00,69.8826860878737,33.385359934539565,30.540778175920966,43.431523347215695,30.589189962892778,44.79983825842745,30.00078974964234,29.989026965568105,25.499818676966616,25.48805589289238
2006-Jan-01 14:00:00,67.63017964172786,30.989642384819835,31.164953210860205,44.88806584986455,31.298384637730965,46.26195646142208,30.00078974964234,29.989026965568105,25.402808903855455,25.39104611978122
2006-Jan-01 15:00:00,66.47454012057761,32.82238047345604,31.41328652239551,43.691448836186304,31.481545308784362,44.70831545266977,30.00078974964234,29.989026965568105,25.333002856998252,25.321240072924024
2006-Jan-01 16:00:00,67.0633204861599,37.14801755487322,31.178139693789245,41.22162013361014,31.19165154920181,41.983360829424896,29.825789749642343,29.814026965568104,25.174013705294172,25.162250921219933
2006-Jan-01 17:00:00,67.91335976702165,41.92231262385864,30.821553509694677,38.81977457141341,30.81050431214059,39.26340541254964,29.467456416309005,29.45569363223477,25.038736156488426,25.02697337241419
2006-Jan-01 18:00:00,70.60591701684818,53.8397594699258,30.060981723419403,34.2132356387017,29.887491275810277,33.956730017726905,29.12578974964234,29.114026965568105,24.861924109273414,24.850161325199178
2006-Jan-01 19:00:00,73.33708217643594,67.16376370626197,29.221190016500355,30.106057414802635,28.90500657826138,29.7693426717092,28.53412308297568,28.522360298901436,24.59570195322564,24.583939169151403
2006-Jan-01 20:00:00,75.31862447012416,75.01087172215188,28.656532047891456,28.094899703119392,28.333979430171315,28.007945647415884,27.792456416309008,27.780693632234772,24.4590503738774,24.447287589803164
2006-Jan-01 21:00:00,77.07101075299727,78.35009838434756,28.28421919717322,27.399003549354315,28.039366545714177,27.37357730420612,27.03412308297568,27.022360298901436,24.33809352065639,24.326330736582154
2006-Jan-01 22:00:00,78.26165894531606,80.3989679454032,27.99034535026348,26.946900851680315,27.799438155022685,26.95196675401216,26.467456416309005,26.45569363223477,24.04194513305082,24.030182348976584
2006-Jan-01 23:00:00,78.4382057050361,80.9018522899255,27.74022779466874,26.639174386003244,27.579272656312725,26.668197229887515,26.06745641630901,26.055693632234767,23.744334489588596,23.73257170551436
2006-Jan-02 00:00:00,78.36417670581471,80.83755310719718,27.494615773579067,26.396856657265605,27.369536008959887,26.43697810384509,25.60912308297567,25.597360298901435,23.366953056161446,23.35519027208721
2006-Jan-02 01:00:00,77.88516892713615,80.77128274882041,27.224077791097457,26.038205991958616,27.13180310085657,26.09102957009455,25.167456416309008,25.155693632234772,22.947572250970946,22.935809466896703
2006-Jan-02 02:00:00,77.4415510929487,80.94100146676466,26.971670386094203,25.65689851629331,26.878718015174798,25.70414430943462,25.00078974964234,24.989026965568105,22.788990368037705,22.77722758396347
2006-Jan-02 03:00:00,78.5576161888204,82.01488755288104,26.7626963974996,25.47909246552507,26.652814727559047,25.5433660887449,25.00078974964234,24.989026965568105,23.25868227963143,23.246919495557194
2006-Jan-02 04:00:00,80.63457260648153,83.20715216807554,26.618258930693127,25.55057465114886,26.491785615429233,25.601005484547112,25.00078974964234,24.989026965568105,23.124978454865303,23.113215670791067
2006-Jan-02 05:00:00,81.22973005420013,84.20431561157311,26.372150994845967,25.235174359049903,26.27780626694988,25.28138813196729,24.417456416309008,24.405693632234772,23.07392561159718,23.062162827522943
2006-Jan-02 06:00:00,83.98790052011815,87.65446648936505,26.105508354458546,24.87564496567093,26.021027189681785,24.943538349793375,24.35078974964234,24.339026965568106,23.303955168067915,23.29219238399368
2006-Jan-02 07:00:00,85.47806691126571,88.55741588526298,25.948759915004107,24.85648529123374,25.841673039752067,24.88262014439421,24.834123082975676,24.82236029890144,23.484274854664914,23.47251207059068
2006-Jan-02 08:00:00,86.04858044995642,85.54846553574032,25.97108587238036,25.585638631771463,25.823444977679586,25.85960729250453,25.584123082975676,25.57236029890144,23.763521073782414,23.751758289708178
2006-Jan-02 09:00:00,84.99777935986636,75.73164809228103,26.246662174985513,27.73551860999932,26.182506688115765,28.26799451370627,26.00078974964234,25.989026965568105,23.880021496775033,23.868258712700797
2006-Jan-02 10:00:00,82.4337772616441,62.78193678431072,26.797770092530445,31.02105362400235,26.897281185739867,31.910152792064746,26.584123082975676,26.57236029890144,24.0234415182781,24.011678734203866
2006-Jan-02 11:00:00,79.0804112491612,56.97418501683804,27.482107739006477,32.666669770189564,27.39778630385933,33.44314306686911,27.525789749642342,27.514026965568107,24.17722244262454,24.165459658550304
2006-Jan-02 12:00:00,75.08459442505863,46.543166617144315,28.257350809672772,36.20612511041549,28.25989880682984,37.42770222390337,28.425789749642345,28.4140269655681,24.239859030531363,24.22809624645713
2006-Jan-02 13:00:00,69.63000271548852,36.22122293381225,29.484899011887975,40.69712696964877,29.56894651364871,42.16724164655237,30.08412308297567,30.07236029890144,24.823118279556066,24.81135549548183
2006-Jan-02 14:00:00,66.7770570119653,36.258914421392554,30.23592530155858,40.642030162405014,30.02715612900378,41.49515682755251,31.00078974964234,30.989026965568105,24.79753801489595,24.785775230821713
2006-Jan-02 15:00:00,65.72303236443008,38.57837281294717,30.139047548275585,39.00833562238271,29.91807410667815,39.758689872439696,30.592456416309005,30.58069363223477,24.35183258724284,24.340069803168603
2006-Jan-02 16:00:00,65.10738035195617,39.93934556816757,30.04622320272004,38.07617590976246,29.89063110821272,38.67562128316856,29.950789749642343,29.939026965568104,24.138644685151473,24.126881901077237
2006-Jan-02 17:00:00,66.18474800780433,46.39274865563817,29.67333903906534,35.26640395277217,29.45559223719501,35.43538398710927,29.292456416309008,29.280693632234772,23.99327099690306,23.981508212828825
2006-Jan-02 18:00:00,68.29294147945181,55.13251176448782,29.00814415764692,32.06200174946373,28.793213601592104,31.964414929330236,28.767456416309006,28.75569363223477,23.638181337069586,23.626418552995357
2006-Jan-02 19:00:00,69.41989391124292,64.6313593344065,28.439785672777703,29.002783471494563,28.075339337952595,28.73839650077682,28.134123082975677,28.12236029890144,23.380503098227802,23.36874031415356
2006-Jan-02 20:00:00,71.18362803420517,70.04770209264508,27.9993907516039,27.621696828129476,27.6623166270375,27.540124270538485,27.33412308297567,27.32236029890144,23.369675791756038,23.357913007681802
2006-Jan-02 21:00:00,73.0362063509278,73.05987249721841,27.711616398541924,27.081628658226833,27.442886945177296,27.047694126926277,26.709123082975676,26.69736029890144,23.283853726164534,23.272090942090298
2006-Jan-02 22:00:00,74.47198339229809,75.6039496590539,27.457516615806536,26.596612260007433,27.22720917053036,26.588813827307117,26.209123082975676,26.19736029890144,23.195226537309836,23.1834637532356
2006-Jan-02 23:00:00,77.00665448701142,79.78722778354675,27.132145977082473,25.953268955766593,26.96406820776099,25.960387623150552,25.417456416309008,25.405693632234772,23.4308158508132,23.419053066738964
2006-Jan-03 00:00:00,80.30599365232885,84.058164912675,26.84621768093921,25.524228002681507,26.690609877378282,25.57348609797218,25.35078974964234,25.339026965568106,23.5397717876628,23.528009003588565
2006-Jan-03 01:00:00,81.56176148562149,84.84012631160248,26.68868203085678,25.489060039255552,26.50926605623431,25.507401466032633,25.25078974964234,25.239026965568105,23.555176765399892,23.543413981325656
2006-Jan-03 02:00:00,83.51484336453679,87.24866349691638,26.442667856149722,25.187266801478312,26.27965605933311,25.210079908319745,25.00078974964234,24.989026965568105,23.591118415456318,23.579355631382075
2006-Jan-03 03:00:00,83.87051640248791,86.75404712310679,26.26641889346237,25.187740021371543,26.087496521530408,25.253504236137072,25.00078974964234,24.989026965568105,23.124978454865303,23.113215670791067
2006-Jan-03 04:00:00,82.76974590560862,85.57408991446066,26.036374772024217,24.964190202549545,25.877153776274113,24.961475193019357,24.417456416309008,24.405693632234772,22.696285398275318,22.684522614201082
2006-Jan-03 05:00:00,83.71199970945015,88.01190381230971,25.636980521925242,24.289563720508767,25.530270198236877,24.335973299305834,24.00078974964234,23.989026965568105,22.62184128163366,22.610078497559424
2006-Jan-03 06:00:00,84.78281174250363,88.87080231643824,25.376290241887943,24.092082892764623,25.28623917327428,24.147903103499917,23.65078974964234,23.639026965568103,22.57811159879307,22.566348814718832
2006-Jan-03 07:00:00,86.20180510650728,89.07206646708852,25.101381640776967,24.071202517348343,25.066769994973757,24.16203502671738,23.75078974964234,23.739026965568105,22.59137119470248,22.579608410628243
2006-Jan-03 08:00:00,85.96956211084512,84.25500867720902,25.10191392207939,24.963627457644055,25.063682823975153,25.233609120124886,24.00078974964234,23.989026965568105,22.622464894038178,22.610702109963942
2006-Jan-03 09:00:00,85.78551696232057,77.68116911677522,25.186149876013744,26.39634374551618,25.253933973568397,26.988288760912038,24.292456416309008,24.280693632234772,22.90525920579989,22.893496421725654
2006-Jan-03 10:00:00,84.74993600171675,65.6240648906302,25.679299289859856,29.612019425032006,25.86582562150876,30.571634481159236,24.792456416309008,24.780693632234772,23.389817171533366,23.37805438745913
2006-Jan-03 11:00:00,80.79494186516148,51.07883877518611,26.825938157384645,34.41008172557259,26.99100281081938,35.74822770609889,26.75078974964234,26.739026965568105,24.043849390357668,24.03208660628344
2006-Jan-03 12:00:00,76.23474577172611,42.94781730321393,28.093728291930546,37.78273183680647,28.058272584101037,39.07133372751253,28.817456416309003,28.805693632234767,24.873230032135112,24.861467248060876
2006-Jan-03 13:00:00,72.71741309477004,36.10180956161227,29.096229041776596,41.1935043451969,29.14456526583828,42.66084762869466,29.167456416309008,29.155693632234772,24.49958547588618,24.487822691811946
