Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,79.53808863705682,26.964009568158147,27.093717119007664,24.640361892154672,23.289347747213366
2006-Jan-01 02:00:00,84.17770015945176,26.165809626412663,26.412020357788293,23.98202855882134,23.239132583387924
2006-Jan-01 03:00:00,86.87411775685679,25.64228714720906,25.908111255565228,23.840361892154675,23.17256721447244
2006-Jan-01 04:00:00,88.98845705106191,25.238163460021028,25.486649759501688,23.740361892154677,23.125881767148723
2006-Jan-01 05:00:00,90.86441469206602,24.83681129609728,25.066948578461062,23.58202855882134,23.04173061277584
2006-Jan-01 06:00:00,92.96542113953342,24.398604328217914,24.612152438011417,23.440361892154673,22.95306051647434
2006-Jan-01 07:00:00,94.27653905912798,24.140488128437408,24.360457872713454,24.040361892154674,23.178773360626348
2006-Jan-01 08:00:00,89.37836291421716,25.151867947141124,25.358183853346357,25.19869522548801,23.658636132948256
2006-Jan-01 09:00:00,79.63579634056607,27.343442811269302,27.97570883393645,26.340361892154675,24.154007181025335
2006-Jan-01 10:00:00,68.48272707840134,30.236443357684916,30.91883900859628,27.440361892154673,24.53899740580171
2006-Jan-01 11:00:00,60.09183157244649,32.78284828056009,33.55028045074732,28.482028558821337,24.93713019135303
2006-Jan-01 12:00:00,55.5817923496759,34.47571639044554,35.167919632000725,29.540361892154674,25.34874370447797
2006-Jan-01 13:00:00,53.56748580698186,35.35287296353548,36.06410904991038,29.998695225488007,25.49772415281228
2006-Jan-01 14:00:00,50.798772180662496,36.37526789731185,37.153282023954525,29.998695225488007,25.400714379701117
2006-Jan-01 15:00:00,51.36154051814835,36.093329228789784,36.68223797182865,29.998695225488007,25.330908332843922
2006-Jan-01 16:00:00,53.925723731379065,35.11954263246158,35.6206858241674,29.823695225488006,25.17191918113983
2006-Jan-01 17:00:00,56.544646790178746,34.11300520231804,34.444688504167864,29.465361892154675,25.036641632334092
2006-Jan-01 18:00:00,63.62197956772607,31.89814859440475,31.870327682785714,29.123695225488007,24.859829585119083
2006-Jan-01 19:00:00,69.60040423117822,30.083821135416823,29.867190756024105,28.532028558821338,24.5936074290713
2006-Jan-01 20:00:00,73.34409519803806,29.03931355413637,28.994076391473016,27.790361892154674,24.456955849723062
2006-Jan-01 21:00:00,75.5471019791671,28.544332532505774,28.560271247086785,27.032028558821338,24.335998996502056
2006-Jan-01 22:00:00,77.16394653882237,28.145251584493764,28.197521149951598,26.465361892154675,24.039850608896487
2006-Jan-01 23:00:00,77.6453464908591,27.82336958317727,27.89542556261766,26.065361892154673,23.742239965434262
2006-Jan-02 00:00:00,77.77761757945021,27.530116720047143,27.612541444154417,25.60702855882134,23.36485853200711
2006-Jan-02 01:00:00,77.70424296854553,27.1683194038382,27.27455020429191,25.165361892154674,22.94547772681661
2006-Jan-02 02:00:00,77.70559579898813,26.815748222026617,26.914002522213178,24.998695225488007,22.78689584388337
2006-Jan-02 03:00:00,78.93281908664845,26.582475829763528,26.67675400593954,24.998695225488007,23.256587755477096
2006-Jan-02 04:00:00,80.69891424214879,26.50879721740525,26.54680667503601,24.998695225488007,23.12288393071097
2006-Jan-02 05:00:00,81.6673698423328,26.18688428235258,26.233216823943987,24.415361892154674,23.071831087442845
2006-Jan-02 06:00:00,84.79074871959939,25.851355100764845,25.93603990507189,24.348695225488004,23.301860643913585
2006-Jan-02 07:00:00,86.06244032346204,25.74236842481116,25.76589519908296,24.83202855882134,23.482180330510584
2006-Jan-02 08:00:00,85.0431997594408,26.09183416917759,26.179358529013488,25.58202855882134,23.761426549628084
2006-Jan-02 09:00:00,81.16464233889111,26.967565339161293,27.314284502078646,25.998695225488007,23.8779269726207
2006-Jan-02 10:00:00,74.01057908406814,28.59704143235133,29.114937854622085,26.58202855882134,24.021346994123764
