Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],PLENUMTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],PLENUMTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],PLENUMTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],PLENUMTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C],PLENUMTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,75.3667672577614,65.13556219745446,28.017342304658005,29.927898191847003,28.324736286069154,30.131384095012162,24.642456416309006,24.632114923383398,23.2914422713677,23.281100778442084
2006-Jan-01 02:00:00,77.9087403017086,68.89660766900629,27.617257372040797,29.15065944347474,27.980083867248933,29.325393092511504,23.98412308297567,23.973781590050063,23.241227107542258,23.23088561461664
2006-Jan-01 03:00:00,79.33510266351978,71.75166024747233,27.322580190576772,28.482191885327396,27.645129730891895,28.577155341010315,23.84245641630901,23.832114923383397,23.174661738626778,23.164320245701166
2006-Jan-01 04:00:00,80.67066530397743,74.56517776391723,27.042445265451505,27.8399611805674,27.314733540347294,27.871974583429054,23.742456416309007,23.732114923383396,23.127976291303053,23.117634798377438
2006-Jan-01 05:00:00,81.79065939373186,77.36057222352734,26.75797368348991,27.17146959463896,26.985789388774496,27.206993622166138,23.584123082975676,23.57378159005006,23.043825136930177,23.033483644004562
2006-Jan-01 06:00:00,82.8926969011606,80.16486027433324,26.475833948977552,26.52092304281499,26.658432830789412,26.57183437229673,23.442456416309003,23.432114923383395,22.95515504062867,22.944813547703063
2006-Jan-01 07:00:00,84.00959539996337,82.92371874759279,26.226386266602834,25.935773501203073,26.338259669073235,25.956364447101663,24.042456416309008,24.032114923383393,23.180867884780678,23.170526391855066
2006-Jan-01 08:00:00,84.70585223669627,85.71688025325433,26.19334458725682,25.492924370582788,26.098544734638825,25.478429994325367,25.200789749642343,25.19044825671673,23.660730657102587,23.65038916417697
2006-Jan-01 09:00:00,85.33632415084396,86.90191698721061,26.271501167165905,25.47062362905932,26.003187008826217,25.439582569377592,26.34245641630901,26.332114923383397,24.156101705179665,24.145760212254057
2006-Jan-01 10:00:00,84.98720388494154,84.051900186845,26.553466508962487,26.250123124332692,26.111178745557,26.20356471130877,27.44245641630901,27.432114923383395,24.541091929956043,24.530750437030424
2006-Jan-01 11:00:00,83.39119543873029,77.74562958738976,27.026227211953728,27.727331312774705,26.463327728542268,27.844660289736513,28.484123082975675,28.473781590050063,24.939224715507365,24.92888322258175
2006-Jan-01 12:00:00,81.7784380998918,69.57355026273108,27.583168005020127,29.862407567756033,27.031838671339585,30.0967281956263,29.542456416309008,29.532114923383393,25.35083822863231,25.340496735706697
2006-Jan-01 13:00:00,79.76998971214692,61.74793731558673,28.172642961031546,32.1050328215541,27.710858281562448,32.45904623641891,30.00078974964234,29.99044825671673,25.499818676966616,25.489477184041004
2006-Jan-01 14:00:00,77.34219866553667,55.05494227717224,28.74423295164209,34.16711854756889,28.425148638450334,34.623333187384226,30.00078974964234,29.99044825671673,25.402808903855455,25.392467410929843
2006-Jan-01 15:00:00,74.56596619890925,49.46895890494195,29.307261830202012,35.99736862987074,29.094064213495983,36.50539666264248,30.00078974964234,29.99044825671673,25.333002856998252,25.322661364072648
2006-Jan-01 16:00:00,72.37770305795765,46.1139760650779,29.758062319577164,37.17982800169735,29.632482772721605,37.689333057784914,29.825789749642343,29.81544825671673,25.174013705294172,25.163672212368557
2006-Jan-01 17:00:00,70.74980104659642,44.58507077270999,30.039802022797954,37.65225149233526,30.001619256762122,38.141341841011844,29.467456416309005,29.457114923383397,25.038736156488426,25.02839466356281
2006-Jan-01 18:00:00,70.13521968633614,44.740219071005264,30.128376122408742,37.50611040191997,30.15500292389463,37.93765810945739,29.12578974964234,29.11544825671673,24.861924109273414,24.8515826163478
2006-Jan-01 19:00:00,69.74169331513254,46.49778817141658,30.076729852353548,36.631006285334415,30.10266825462077,36.988217542317386,28.53412308297568,28.523781590050064,24.59570195322564,24.585360460300024
2006-Jan-01 20:00:00,70.60685591723224,49.70025612336598,29.790908716853114,35.34712977937452,29.909747640362827,35.65214294287066,27.792456416309008,27.782114923383393,24.4590503738774,24.448708880951784
2006-Jan-01 21:00:00,72.2145295844452,53.69179784911376,29.44545905618266,34.01662832754562,29.64399967865012,34.30851853372516,27.03412308297568,27.023781590050064,24.33809352065639,24.32775202773078
2006-Jan-01 22:00:00,73.57204353665098,57.40545562540396,29.098844787432757,32.809689947313515,29.3409690455188,33.09089118308835,26.467456416309005,26.457114923383397,24.04194513305082,24.03160364012521
2006-Jan-01 23:00:00,74.02905022643348,60.23153000012033,28.779286361819953,31.74579242806618,29.021154890095033,32.000393542515866,26.06745641630901,26.057114923383395,23.744334489588596,23.73399299666298
2006-Jan-02 00:00:00,74.31213372763092,62.57124949144773,28.447991084877387,30.80888853257535,28.692152066504892,31.02583193978849,25.60912308297567,25.598781590050063,23.366953056161446,23.356611563235834
2006-Jan-02 01:00:00,74.11890988326488,64.18688967633528,28.112326621647146,29.977565968543672,28.360101522075198,30.150856136132997,25.167456416309008,25.157114923383393,22.947572250970946,22.93723075804533
2006-Jan-02 02:00:00,73.87379977905718,65.60290823364801,27.81497077033757,29.24315979015535,28.029167319866627,29.347935002935586,25.00078974964234,24.99044825671673,22.788990368037705,22.778648875112097
2006-Jan-02 03:00:00,75.13203325209905,68.34227826621458,27.559108244970428,28.587434534311644,27.704173941726168,28.59030111060602,25.00078974964234,24.99044825671673,23.25868227963143,23.248340786705814
2006-Jan-02 04:00:00,77.5565656303105,72.26560780728992,27.313871611468098,27.949110525892607,27.389297813549423,27.91999578492889,25.00078974964234,24.99044825671673,23.124978454865303,23.11463696193969
2006-Jan-02 05:00:00,78.42311382761561,74.28274534033933,26.998712027161158,27.358809907654635,27.08684054481277,27.3606106222838,24.417456416309008,24.407114923383393,23.07392561159718,23.063584118671567
2006-Jan-02 06:00:00,81.12642522279549,78.03491175528184,26.719517968247203,26.840824325195598,26.79300077896761,26.854116857174443,24.35078974964234,24.34044825671673,23.303955168067915,23.293613675142307
2006-Jan-02 07:00:00,82.76759611732348,80.73227711534362,26.51885270177735,26.41727760577221,26.5261288339692,26.41587234121243,24.834123082975676,24.823781590050064,23.484274854664914,23.4739333617393
2006-Jan-02 08:00:00,83.87929592740477,82.94116711636866,26.434104304302608,26.11287570511104,26.310225283388174,26.088443123598598,25.584123082975676,25.57378159005006,23.763521073782414,23.753179580856806
2006-Jan-02 09:00:00,84.37602218676054,83.41861595483935,26.400126816975988,26.086757892569675,26.185379839820204,26.058687715426867,26.00078974964234,25.99044825671673,23.880021496775033,23.86968000384942
2006-Jan-02 10:00:00,84.07023368225298,81.23985005152538,26.475080427128688,26.551777471026167,26.206938865218955,26.534125616737143,26.584123082975676,26.57378159005006,24.0234415182781,24.01310002535249
2006-Jan-02 11:00:00,82.50353131643631,76.8348089260397,26.748918574493416,27.451459226519287,26.365799414147418,27.531376772239152,27.525789749642342,27.515448256716727,24.17722244262454,24.166880949698935
2006-Jan-02 12:00:00,79.94989826826738,71.04729992920126,27.14551418118953,28.641684036609178,26.68908865649131,28.765689871097777,28.425789749642345,28.41544825671673,24.239859030531363,24.229517537605755
2006-Jan-02 13:00:00,76.83220773556938,64.18283824544613,27.76029622675739,30.32318009599814,27.20615273972301,30.544723330898602,30.08412308297567,30.07378159005006,24.823118279556066,24.812776786630454
2006-Jan-02 14:00:00,74.06463510654199,57.08165244143648,28.418435131188545,32.3891929208556,27.824529397605144,32.69077558752165,31.00078974964234,30.99044825671673,24.79753801489595,24.787196521970333
2006-Jan-02 15:00:00,70.68978997011182,51.07922084826686,28.82314577607768,33.9050014121186,28.376705283440646,34.25323871006368,30.592456416309005,30.582114923383397,24.35183258724284,24.341491094317224
2006-Jan-02 16:00:00,68.50296722911929,47.83905411282521,29.105005382096238,34.77852773108548,28.812474953661635,35.15859255526404,29.950789749642343,29.94044825671673,24.138644685151473,24.12830319222586
2006-Jan-02 17:00:00,67.55025104976899,46.534406802744115,29.25549685488967,35.164869685408746,29.08807433203202,35.53854524876636,29.292456416309008,29.282114923383393,23.99327099690306,23.98292950397745
2006-Jan-02 18:00:00,67.18281973342138,46.98514058813262,29.264037120009537,34.890008792327876,29.19302435342708,35.21322821960789,28.767456416309006,28.757114923383398,23.638181337069586,23.627839844143978
2006-Jan-02 19:00:00,66.55468978818966,48.556319834580016,29.170870260220777,34.02066246870418,29.102077141369154,34.27806286333691,28.134123082975677,28.12378159005006,23.380503098227802,23.370161605302183
2006-Jan-02 20:00:00,67.85315163194004,52.29745341181954,28.849134831807916,32.7209671750547,28.8708644149122,32.937016487559056,27.33412308297567,27.32378159005006,23.369675791756038,23.35933429883043
2006-Jan-02 21:00:00,69.89168632276255,56.971306615280476,28.500408790942434,31.394133520003464,28.57367943328934,31.593087476351755,26.709123082975676,26.69878159005006,23.283853726164534,23.27351223323892
2006-Jan-02 22:00:00,71.53701622372314,61.01988280816189,28.17992861085848,30.289450946875437,28.258815196743083,30.446932303408968,26.209123082975676,26.19878159005006,23.195226537309836,23.18488504438422
2006-Jan-02 23:00:00,74.11687938311762,65.38245034482826,27.817327792368562,29.363405391867023,27.935628469427247,29.479434027878284,25.417456416309008,25.407114923383393,23.4308158508132,23.42047435788759
2006-Jan-03 00:00:00,77.29310826064766,70.15361995075101,27.528039658866888,28.610939371669875,27.61103596596213,28.62052054655503,25.35078974964234,25.34044825671673,23.5397717876628,23.529430294737182
2006-Jan-03 01:00:00,78.85558410395417,73.51123147358443,27.291016942570675,27.92777077651387,27.292608824395117,27.877829370366996,25.25078974964234,25.24044825671673,23.555176765399892,23.544835272474277
2006-Jan-03 02:00:00,81.0074540886216,78.29197740059902,26.985352692148698,27.023680961941455,26.94098323638921,26.990068193065667,25.00078974964234,24.99044825671673,23.591118415456318,23.580776922530703
2006-Jan-03 03:00:00,81.72880795578415,81.20716012163577,26.72687848349464,26.30043056278439,26.60433732294382,26.295386608411047,25.00078974964234,24.99044825671673,23.124978454865303,23.11463696193969
2006-Jan-03 04:00:00,81.03908719412571,80.73429327049264,26.38564823127457,25.91209833830457,26.301932698461826,25.930746371582046,24.417456416309008,24.407114923383393,22.696285398275318,22.685943905349706
2006-Jan-03 05:00:00,81.8159672827272,82.29034091560915,26.03013126732304,25.40600119366826,25.98794989534035,25.42625588924989,24.00078974964234,23.99044825671673,22.62184128163366,22.61149978870805
2006-Jan-03 06:00:00,83.15833733136998,84.75932711336073,25.713714686965577,24.879975223357988,25.672958352062263,24.908685143608693,23.65078974964234,23.640448256716727,22.57811159879307,22.567770105867453
2006-Jan-03 07:00:00,84.86969660540433,86.7858728558831,25.374957953093723,24.502940658826947,25.37699106933565,24.523876080605692,23.75078974964234,23.74044825671673,22.59137119470248,22.58102970177687
2006-Jan-03 08:00:00,85.46488273511254,87.52503173294691,25.21040489240529,24.32408474730828,25.14738513546703,24.34214605159536,24.00078974964234,23.99044825671673,22.622464894038178,22.61212340111257
2006-Jan-03 09:00:00,86.19068106692993,87.23523464151197,25.116251219190207,24.435976826890453,25.015180201750965,24.45792484344675,24.292456416309008,24.282114923383393,22.90525920579989,22.894917712874275
2006-Jan-03 10:00:00,87.22925756549455,86.3060731292391,25.211725298996726,24.922151703918715,25.046796698383172,24.982046094879305,24.792456416309008,24.782114923383393,23.389817171533366,23.379475678607758
2006-Jan-03 11:00:00,86.37505178064737,82.37484663382494,25.714166613106347,26.052790563077195,25.306335953908956,26.17289591028629,26.75078974964234,26.74044825671673,24.043849390357668,24.03350789743206
2006-Jan-03 12:00:00,83.9456229885338,74.85757218196936,26.444687657895695,27.92200245562324,25.77994993252705,28.093728191659807,28.817456416309003,28.807114923383395,24.873230032135112,24.862888539209496
2006-Jan-03 13:00:00,82.09487045502313,66.98944140640525,26.987267923750696,29.994850422567833,26.418964331874566,30.31574917776085,29.167456416309008,29.157114923383393,24.49958547588618,24.48924398296057
2006-Jan-03 14:00:00,77.105614849547,56.99970094420595,27.482681931475526,32.19123993885621,27.123786613371454,32.652419808572645,28.825789749642343,28.81544825671673,23.974745349405477,23.964403856479862
2006-Jan-03 15:00:00,74.02185203251611,50.714081315048226,27.986734890055242,34.03248309537293,27.776176887162677,34.54337655096237,28.525789749642342,28.515448256716727,24.026021041279392,24.015679548353784
2006-Jan-03 16:00:00,72.60354625768558,48.11204712729816,28.355468857019403,34.99713401086419,28.2321569332719,35.4873185547475,28.28412308297567,28.273781590050064,24.03100224980568,24.020660756880066
2006-Jan-03 17:00:00,72.00837455169774,47.89156772791105,28.575493414884253,35.15007758502296,28.514478691534155,35.597687294972836,28.025789749642342,28.015448256716727,24.041706550455093,24.031365057529484
2006-Jan-03 18:00:00,72.59630908839732,49.419408958881206,28.603820325546888,34.75974806965996,28.58396756052453,35.13357491363224,27.72578974964234,27.71544825671673,24.160574107094465,24.150232614168853
2006-Jan-03 19:00:00,75.18200624197102,53.88812485292478,28.427408326514108,33.672072422309874,28.453840488584913,33.98443824451425,26.667456416309008,26.657114923383393,24.445372598145763,24.43503110522015
2006-Jan-03 20:00:00,79.4574914431258,60.32735610604967,28.070685104856366,32.309465698429776,28.200627024358,32.57433546373758,26.00078974964234,25.99044825671673,24.560323926225617,24.549982433300006
2006-Jan-03 21:00:00,81.59064510211984,65.59129182700684,27.790285305359856,31.023757015777978,27.912944103564325,31.256551644518655,25.709123082975676,25.69878159005006,24.277566688436124,24.26722519551052
2006-Jan-03 22:00:00,82.12426801321192,69.12596881157067,27.45795541268946,29.8803998363915,27.59897804708993,30.08881254133439,25.209123082975676,25.19878159005006,23.79311281309045,23.78277132016484
2006-Jan-03 23:00:00,81.99039560620581,71.71308819318155,27.16220331815457,28.915561288556756,27.27405076624824,29.059012506236286,25.00078974964234,24.99044825671673,23.591342881332697,23.581001388407085
2006-Jan-04 00:00:00,82.54084165879583,74.56169838494175,26.920212946784016,28.123436017986446,26.958011373219716,28.173579844334046,25.00078974964234,24.99044825671673,23.667998588415312,23.657657095489697
2006-Jan-04 01:00:00,83.58137045751637,77.35224670304551,26.693220618565874,27.490081337263135,26.659377744949055,27.448871117422655,25.00078974964234,24.99044825671673,23.645891178767886,23.635549685842275
2006-Jan-04 02:00:00,84.26496982674529,79.67041547127741,26.48286974151826,26.921077956595173,26.38143923237564,26.860998886069975,25.00078974964234,24.99044825671673,23.590953813712037,23.580612320786425
2006-Jan-04 03:00:00,85.38226532331815,82.06461298970584,26.2014302301025,26.3673669670345,26.11209804707323,26.33683097237109,24.417456416309008,24.407114923383393,23.399966821992148,23.389625329066533
2006-Jan-04 04:00:00,86.61447378039254,84.4674260423494,25.896659176401286,25.82695244950558,25.842866857946774,25.828622938395494,24.00078974964234,23.99044825671673,23.257412255599665,23.247070762674056
2006-Jan-04 05:00:00,87.21059503332695,86.6355540482882,25.773169374804255,25.401273686233978,25.60058816529168,25.384659554463827,24.584123082975676,24.57378159005006,23.455557081677544,23.445215588751932
2006-Jan-04 06:00:00,87.87931388888,88.31061284494876,25.634423796229044,25.07435011222169,25.388896998787057,25.057359358264463,24.65078974964234,24.640448256716727,23.403326568412556,23.392985075486944
2006-Jan-04 07:00:00,90.16186340269962,90.41384518923864,25.297321069192716,24.784518653609936,25.179169079078548,24.784513856878664,24.167456416309008,24.157114923383393,23.70100016785617,23.69065867493056
2006-Jan-04 08:00:00,92.61482616115704,93.2815113082405,25.19572964528574,24.628766083738444,25.041694128234255,24.618924157511913,24.584123082975676,24.57378159005006,23.772883920543876,23.76254242761826
2006-Jan-04 09:00:00,91.66930678342901,92.1625107751438,25.337173934184005,24.801575649599826,25.02932452710024,24.771261463419844,25.584123082975676,25.57378159005006,24.15700432892747,24.146662836001855
2006-Jan-04 10:00:00,91.01878094913629,89.31299913918035,25.792215861194205,25.6687864493672,25.236915404192974,25.626176059078347,27.167456416309008,27.157114923383393,24.866505734858137,24.85616424193253
2006-Jan-04 11:00:00,88.7505801428677,81.93038290127677,26.359254091572254,27.268080112169386,25.63557258784448,27.36733170511049,28.584123082975676,28.57378159005006,25.159862347917386,25.149520854991778
2006-Jan-04 12:00:00,85.80473983652797,73.33479602215834,26.856306531825382,29.073208361901937,26.164635485622046,29.2624558974868,29.584123082975676,29.57378159005006,25.105231837302302,25.09489034437669
2006-Jan-04 13:00:00,81.51827273956812,64.84420077918928,27.401251084348484,30.85039236710597,26.794480086376186,31.146695889846594,30.00078974964234,29.99044825671673,24.906279047671234,24.89593755474562
2006-Jan-04 14:00:00,77.2459405574309,56.51325838812861,28.063500834563172,32.978534576804584,27.5392864152857,33.38741114314234,30.584123082975676,30.57378159005006,25.054970775525664,25.044629282600056
2006-Jan-04 15:00:00,73.31822731952226,49.54490169217039,28.789896897695247,35.117887972928926,28.264339685253955,35.55776707352692,31.584123082975676,31.57378159005006,24.98006970175261,24.969728208826993
2006-Jan-04 16:00:00,69.1271507262367,44.740058272614014,29.380370237271865,36.46409078980974,28.906310209039408,36.90797958353945,31.709123082975676,31.69878159005006,24.76885589787437,24.758514404948755
2006-Jan-04 17:00:00,67.18884934836984,42.385408054013936,29.718173969632897,37.25509790953756,29.36690449916986,37.6923049496982,31.150789749642342,31.140448256716727,24.654311518522565,24.64397002559696
2006-Jan-04 18:00:00,66.64740346157409,42.73336770770476,29.865026481629517,37.098495838573704,29.598619435927997,37.47066627071685,30.609123082975675,30.598781590050063,24.642047466875173,24.63170597394956
2006-Jan-04 19:00:00,67.33103961861354,45.227904810838005,29.830450948070194,36.21450765990274,29.59044311482124,36.51292554823943,29.759123082975677,29.74878159005006,24.50475434945169,24.494412856526083
2006-Jan-04 20:00:00,68.79616595826785,48.87962418984861,29.531558080640238,34.89196468315792,29.42181626312821,35.13809137307908,28.65912308297567,28.648781590050064,24.264076966393194,24.253735473467582
2006-Jan-04 21:00:00,70.71462333035223,53.120347775240226,29.15323063540031,33.515833034168544,29.178155513096048,33.75465896083366,27.617456416309,27.607114923383396,24.084383044793288,24.07404155186767
2006-Jan-04 22:00:00,72.83541340338405,57.37297317163938,28.759439626105657,32.28717307967687,28.898502240233345,32.535537399776324,26.559123082975674,26.548781590050066,23.913897692178853,23.903556199253245
2006-Jan-04 23:00:00,75.15531013103823,61.571276738831635,28.343980942856422,31.19212536920229,28.590465536002707,31.44606135447668,25.459123082975676,25.448781590050064,23.698118232437995,23.687776739512387
2006-Jan-05 00:00:00,77.02326609913617,65.26086074887594,27.98704788277328,30.25965334090178,28.269777874627888,30.480184121952217,24.884123082975677,24.87378159005006,23.55467363455331,23.544332141627695
2006-Jan-05 01:00:00,78.47340804528892,68.3728192925238,27.658231788873284,29.45532482718481,27.950094252693457,29.63880816055151,24.334123082975676,24.32378159005006,23.3726431278276,23.362301634901986
2006-Jan-05 02:00:00,79.76619105720542,71.18719065820466,27.330544387657074,28.7227039424392,27.62227518741665,28.84352148018678,24.00078974964234,23.99044825671673,23.257497418070802,23.247155925145194
2006-Jan-05 03:00:00,80.87169816497087,73.89871376520749,27.0730510145556,28.068877623382132,27.297449341644665,28.090255836215814,24.00078974964234,23.99044825671673,23.257412255599665,23.247070762674056
2006-Jan-05 04:00:00,81.98514422985117,76.71614874788955,26.8220590069765,27.420722935525486,26.97978541140202,27.417427853091837,24.00078974964234,23.99044825671673,23.257291468574817,23.246949975649205
2006-Jan-05 05:00:00,83.14893832155637,79.56481154975079,26.58037439361738,26.807157940196277,26.670338979453145,26.809638265246644,24.00078974964234,23.99044825671673,23.257325047777723,23.24698355485211
2006-Jan-05 06:00:00,84.2731976181489,82.13574040090337,26.316570967322303,26.2397869292825,26.369076233284243,26.26691033426417,23.767456416309006,23.757114923383398,23.10072900003524,23.090387507109625
2006-Jan-05 07:00:00,85.86541227990365,84.30324053413204,25.91564921197927,25.725034929434567,26.07357618967475,25.77287782220264,23.25078974964234,23.24044825671673,22.998073276052448,22.987731783126833
2006-Jan-05 08:00:00,87.11767127700092,86.64901785308592,25.782342687482323,25.389554275930823,25.851910607294187,25.415984513192274,23.99245641630901,23.982114923383392,23.411719498231893,23.40137800530628
2006-Jan-05 09:00:00,87.3969046682926,87.47797038761051,25.988096634606844,25.49752241565797,25.809963949963286,25.48879114896752,25.634123082975673,25.62378159005006,24.13470939318262,24.12436790025701
2006-Jan-05 10:00:00,86.99391185606832,84.75265704794953,26.41930342766861,26.389017673808173,25.981462833974074,26.37557928499383,27.292456416309008,27.282114923383393,24.809104010866648,24.798762517941032
2006-Jan-05 11:00:00,84.52737475723985,77.14226802359804,26.992399594873138,28.078251726773644,26.417532128906632,28.24365416636559,28.584123082975676,28.57378159005006,24.796189581902258,24.78584808897665
2006-Jan-05 12:00:00,80.68327746388523,66.00671173616824,27.5013570753329,30.45832005855148,27.03911529861612,30.77754538595256,29.00078974964234,28.99044825671673,24.7776003837475,24.76725889082189
2006-Jan-05 13:00:00,77.6549497906389,57.82993379571559,28.111739712518954,32.71359903889165,27.75136941124013,33.1237445323253,29.584123082975676,29.57378159005006,24.872955415091976,24.86261392216636
2006-Jan-05 14:00:00,74.42751394120563,51.21384978587341,28.76362652916656,34.77475934080527,28.514528265772288,35.28724890104018,29.59245641630901,29.582114923383397,24.949438209184066,24.939096716258458
2006-Jan-05 15:00:00,73.16230030300046,46.42948297779004,29.319491713880115,36.81519247266501,29.284194782702883,37.43747712534054,28.892456416309006,28.882114923383398,25.108726152082923,25.098384659157308
2006-Jan-05 16:00:00,73.04549497543559,44.043743285980234,29.708404886393083,38.15902269742015,29.812609490933685,38.737699336839114,28.25078974964234,28.24044825671673,25.188077521852293,25.177736028926677
2006-Jan-05 17:00:00,75.59259840235326,51.66129842874381,29.444923158647683,35.638316796266054,29.520934245858427,35.84769661717715,27.592456416309005,27.582114923383397,25.322687009936413,25.3123455170108
2006-Jan-05 18:00:00,80.59687303851503,62.373845373409004,28.7473752818169,32.66550552781006,28.842708113659114,32.8193682489924,26.892456416309006,26.882114923383398,25.490675083936505,25.480333591010893
2006-Jan-05 19:00:00,84.5616543899403,71.32801553560394,28.251690551540253,30.667698407920497,28.291121232942817,30.752438648061688,26.36745641630901,26.357114923383396,25.397183566258793,25.38684207333318
2006-Jan-05 20:00:00,86.86875386294487,78.273918814949,27.779829553803996,29.049232265492048,27.750533309407214,28.9800694603589,26.02578974964234,26.015448256716727,25.040601725246432,25.030260232320824
2006-Jan-05 21:00:00,87.56414404074563,81.95659159066957,27.391353881911144,28.00930628067893,27.317380400857726,27.927714386867034,25.667456416309008,25.657114923383393,24.711540531370122,24.70119903844451
2006-Jan-05 22:00:00,87.85291537664206,83.70623647244234,27.050781139304302,27.368529412441806,26.974486522369272,27.313283573605286,25.267456416309006,25.257114923383398,24.374026480971477,24.363684988045865
2006-Jan-05 23:00:00,87.55407870885642,84.61369022553606,26.749699479837684,26.82796120642561,26.67020029250404,26.79665289810734,24.925789749642345,24.91544825671673,23.96380684062147,23.953465347695857
2006-Jan-06 00:00:00,87.00059868404526,85.21420658195474,26.462589552547783,26.314031739731842,26.387871441121533,26.313835336049852,24.567456416309003,24.557114923383395,23.63425264423238,23.62391115130677
2006-Jan-06 01:00:00,86.94292567287903,86.04575576043318,26.190502393446184,25.870772738915573,26.123638215430244,25.887336136584867,24.284123082975672,24.273781590050064,23.48358567324674,23.47324418032113
2006-Jan-06 02:00:00,87.33449999878032,87.16869809643794,25.946820290634633,25.49102545454156,25.875768670273818,25.51169804718728,24.084123082975676,24.07378159005006,23.339459157131753,23.32911766420614
2006-Jan-06 03:00:00,88.18264345653938,88.51209857322671,25.647464829490463,25.10453039923112,25.63172535100078,25.14499700737747,23.417456416309008,23.407114923383393,23.112049232550802,23.101707739625194
2006-Jan-06 04:00:00,89.45839863366778,90.32503724114122,25.348492822823186,24.718375771446365,25.3826622485262,24.765821860461255,23.00078974964234,22.99044825671673,23.000784635655503,22.99044314272989
2006-Jan-06 05:00:00,89.55442210844615,91.29683663093714,25.14256385970901,24.357681587297886,25.144100556238346,24.39707643751487,23.00078974964234,22.99044825671673,22.57841706096518,22.56807556803957
2006-Jan-06 06:00:00,88.03808756895857,90.51509324784443,24.94109166227172,24.011769830820736,24.91128763756302,24.0434867448472,23.00078974964234,22.99044825671673,22.27394439301302,22.26360290008741
2006-Jan-06 07:00:00,89.07498076962902,91.92090657444459,24.666175908774093,23.68322427761718,24.679902447051358,23.70826302602423,23.00078974964234,22.99044825671673,22.699557101405592,22.689215608479984
2006-Jan-06 08:00:00,91.71111312885454,95.40942453147181,24.564461504185704,23.46578119168099,24.498958334628867,23.472176201771003,23.584123082975676,23.57378159005006,23.154907075155283,23.14456558222967
2006-Jan-06 09:00:00,92.73683838891178,96.6226844620348,24.7448334851503,23.63007332614958,24.45650338547317,23.60129433701357,25.167456416309008,25.157114923383393,24.023647182641895,24.013305689716276
2006-Jan-06 10:00:00,91.93888192590288,93.76391185527427,25.32480908536347,24.568856184300753,24.63125927349795,24.460328678014864,27.75078974964234,27.74044825671673,24.633381597262716,24.62304010433711
2006-Jan-06 11:00:00,86.26064591791605,83.03392627307795,26.045774381260923,26.23895337968128,25.066555879675274,26.18637517350399,29.584123082975676,29.57378159005006,24.34805684724937,24.337715354323763
2006-Jan-06 12:00:00,81.09747463158163,70.99729302270701,26.696232261720127,28.47979571007687,25.728727204805768,28.644559401572092,30.87578974964234,30.86544825671673,24.924422988702656,24.91408149577705
