Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,72.4127701856947,28.728640202507126,29.11867237140349,24.642235416406052,23.29122127146474
2006-Jan-01 02:00:00,75.29904959005388,28.218805434987107,28.62077685466691,23.98390208307272,23.241006107639297
2006-Jan-01 03:00:00,77.05705061880526,27.833194315485585,28.139212739087707,23.84223541640605,23.17444073872382
2006-Jan-01 04:00:00,78.79003809492804,27.453243338478,27.673732539752013,23.74223541640605,23.127755291400092
2006-Jan-01 05:00:00,80.46580033051548,27.03989852953308,27.224108461164402,23.583902083072715,23.043604137027216
2006-Jan-01 06:00:00,82.17227956814365,26.62330527273507,26.784562279630617,23.44223541640605,22.954934040725718
2006-Jan-01 07:00:00,83.95183183744321,26.23243126450772,26.358675103613496,24.042235416406047,23.180646884877717
2006-Jan-01 08:00:00,85.21438401584408,26.08135090515259,26.059384098221276,25.200568749739386,23.66050965719963
2006-Jan-01 09:00:00,85.61475892790155,26.202335180902182,26.048772572947218,26.342235416406055,24.15588070527671
2006-Jan-01 10:00:00,83.94261801587727,26.75247441743106,26.44149165728933,27.442235416406053,24.540870930053085
2006-Jan-01 11:00:00,80.8177648636758,27.56778485449072,27.2466041354528,28.483902083072717,24.939003715604404
2006-Jan-01 12:00:00,77.47010728129031,28.52791898553619,28.340064472275003,29.542235416406047,25.35061722872935
2006-Jan-01 13:00:00,73.70472375079659,29.565331073118813,29.507915048032682,30.000568749739386,25.49959767706366
2006-Jan-01 14:00:00,69.89707160402992,30.545354054570723,30.64619036047347,30.000568749739386,25.402587903952497
2006-Jan-01 15:00:00,66.01502936075849,31.494576696581333,31.70504323259281,30.000568749739386,25.3327818570953
