Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],PLENUMTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],PLENUMTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],PLENUMTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],PLENUMTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C],PLENUMTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,83.99184931106409,88.22220802135155,26.087716127646434,24.753618236610464,25.85739498811253,24.733320317068458,24.642456416309006,24.63069363223477,23.2914422713677,23.279679487293464
2006-Jan-01 02:00:00,87.05749041175271,95.59069488978089,25.652441842723007,23.600469739810602,25.488005468408762,23.607861323232825,23.98412308297567,23.972360298901435,23.241227107542258,23.229464323468022
2006-Jan-01 03:00:00,88.86053955988542,99.48410497313249,25.323682598765373,22.925038596353527,25.165775748093605,22.935905245297914,23.84245641630901,23.83069363223477,23.174661738626778,23.162898954552542
2006-Jan-01 04:00:00,90.31802083070723,100.0,25.055640149549713,22.481723456706533,24.89389614518207,22.486467083389034,23.742456416309007,23.73069363223477,23.127976291303053,23.116213507228817
2006-Jan-01 05:00:00,91.47561377432585,100.0,24.794304204138527,22.05734422986339,24.631255719316,22.053460896232128,23.584123082975676,23.572360298901444,23.043825136930177,23.03206235285594
2006-Jan-01 06:00:00,92.70308286018968,100.0,24.518559307795144,21.55917427416229,24.35369628117485,21.54441350877762,23.442456416309003,23.430693632234775,22.95515504062867,22.943392256554436
2006-Jan-01 07:00:00,93.89540790833796,100.0,24.283618028951484,21.388526385293954,24.113742590658976,21.37897564390938,24.042456416309008,24.030693632234772,23.180867884780678,23.169105100706442
2006-Jan-01 08:00:00,93.42148340304503,97.67197894660465,24.469885027177288,22.59179413761814,24.180625076826942,22.618825013667323,25.200789749642343,25.189026965568104,23.660730657102587,23.64896787302835
2006-Jan-01 09:00:00,91.22118196497848,87.56692904095162,25.077180507591063,25.058704808033514,24.658882027236157,25.32073968560009,26.34245641630901,26.33069363223477,24.156101705179665,24.14433892110543
2006-Jan-01 10:00:00,88.30855576622923,75.49104600988015,25.8568179340581,27.98518337704148,25.40128645210437,28.466637421452333,27.44245641630901,27.430693632234767,24.541091929956043,24.529329145881807
