Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,86.045879383562,25.618420083057146,25.407022063671686,24.643086468755957,23.29207232381465
2006-Jan-01 02:00:00,90.95256325664441,24.85002001701623,24.76726522256264,23.984753135422622,23.24185715998921
2006-Jan-01 03:00:00,93.5388961429753,24.391414079823196,24.341345778177914,23.84308646875596,23.17529179107373
2006-Jan-01 04:00:00,95.50198951290933,24.04723177091775,23.997941036613938,23.74308646875596,23.128606343750004
2006-Jan-01 05:00:00,97.24394147816402,23.697329830390046,23.65042148325533,23.584753135422627,23.04445518937713
2006-Jan-01 06:00:00,99.26758025855696,23.295899677459364,23.26128367068645,23.443086468755954,22.955785093075622
2006-Jan-01 07:00:00,99.80953042287295,23.0755556603942,23.062227509662666,24.04308646875596,23.18149793722763
2006-Jan-01 08:00:00,96.74171713132415,23.77199181837332,23.574576524697864,25.201419802089294,23.661360709549538
2006-Jan-01 09:00:00,91.01225586635483,25.04532874587261,24.8358819650703,26.34308646875596,24.156731757626616
2006-Jan-01 10:00:00,84.88452097697613,26.477419625795847,26.36768631001146,27.443086468755954,24.541721982402994
2006-Jan-01 11:00:00,79.38307279990947,27.816781668122406,27.749449902903834,28.484753135422622,24.939854767954316
2006-Jan-01 12:00:00,76.02402062476115,28.809960716738757,28.689281338678807,29.54308646875596,25.35146828107926
2006-Jan-01 13:00:00,74.23616440682821,29.396780842855662,29.255602260088907,30.00141980208929,25.500448729413566
2006-Jan-01 14:00:00,72.20312630709087,29.92065533378833,29.834310085262427,30.00141980208929,25.403438956302406
2006-Jan-01 15:00:00,71.61272776664488,29.987790524263488,29.81106180209662,30.00141980208929,25.333632909445203
2006-Jan-01 16:00:00,72.28018411449851,29.742208011341116,29.499724227927558,29.826419802089294,25.174643757741123
2006-Jan-01 17:00:00,73.07797389376888,29.414518676103285,29.096714464204464,29.468086468755956,25.039366208935377
2006-Jan-01 18:00:00,76.33141621697779,28.573018895167678,27.97581247376735,29.12641980208929,24.862554161720364
2006-Jan-01 19:00:00,79.56330807037423,27.68016755931097,27.054729819172255,28.53475313542263,24.59633200567259
2006-Jan-01 20:00:00,81.83822983623514,27.101105255779554,26.629951910417926,27.79308646875596,24.45968042632435
