Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],PLENUMTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],PLENUMTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],PLENUMTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],PLENUMTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C],PLENUMTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,80.88730791011042,75.5196209638039,26.752629907942605,27.377459639648254,26.727304891259493,27.405262350553954,24.642456416309006,24.632114923383398,23.2914422713677,23.281100778442084
2006-Jan-01 02:00:00,83.23752410947957,78.56219887269265,26.437846002124854,26.89633847438894,26.49178147260588,26.92294191261991,23.98412308297567,23.973781590050063,23.241227107542258,23.23088561461664
2006-Jan-01 03:00:00,84.38963636984116,81.04397503410279,26.22464289284662,26.400638713490526,26.248311943132197,26.42154396050601,23.84245641630901,23.832114923383397,23.174661738626778,23.164320245701166
2006-Jan-01 04:00:00,85.4674363762399,83.62510043745299,26.018348283267745,25.888355754871238,25.997434445271207,25.918488312662344,23.742456416309007,23.732114923383396,23.127976291303053,23.117634798377438
2006-Jan-01 05:00:00,86.41479596992978,85.89991067916053,25.78597752281098,25.3974377738994,25.742831380487118,25.429252693765317,23.584123082975676,23.57378159005006,23.043825136930177,23.033483644004562
2006-Jan-01 06:00:00,87.4191655227761,88.17313366155243,25.53916984490537,24.914769025515852,25.48145266333253,24.94319988788439,23.442456416309003,23.432114923383395,22.95515504062867,22.944813547703063
2006-Jan-01 07:00:00,88.50537395244525,90.53565370552184,25.310640901097667,24.460149619333166,25.22214968947033,24.458252987739158,24.042456416309008,24.032114923383393,23.180867884780678,23.170526391855066
2006-Jan-01 08:00:00,89.13606625552886,93.03218178608326,25.298317893402157,24.120741676822842,25.03618201985111,24.082368579333906,25.200789749642343,25.19044825671673,23.660730657102587,23.65038916417697
2006-Jan-01 09:00:00,89.69186356480657,94.60971439591007,25.397178176217025,24.047031029006543,24.966343056718767,23.983568647990282,26.34245641630901,26.332114923383397,24.156101705179665,24.145760212254057
2006-Jan-01 10:00:00,89.50777358001854,93.77751080539225,25.643210332184534,24.40536252052922,25.025460387473284,24.320719551721353,27.44245641630901,27.432114923383395,24.541091929956043,24.530750437030424
2006-Jan-01 11:00:00,88.23774503041496,89.87429820838933,26.041695415929826,25.27000065559515,25.23000743398845,25.1329615416618,28.484123082975675,28.473781590050063,24.939224715507365,24.92888322258175
2006-Jan-01 12:00:00,86.95768924683647,84.88063858928174,26.504894918375925,26.441375436938646,25.5560322455794,26.286470008982864,29.542456416309008,29.532114923383393,25.35083822863231,25.340496735706697
2006-Jan-01 13:00:00,85.62378944280583,80.04916234346331,26.920808802182012,27.58130768006356,25.96071283472278,27.55663664031496,30.00078974964234,29.99044825671673,25.499818676966616,25.489477184041004
2006-Jan-01 14:00:00,84.2193658167669,75.03970960529432,27.232827691996835,28.70783952295422,26.41424700462741,28.77969758050241,30.00078974964234,29.99044825671673,25.402808903855455,25.392467410929843
2006-Jan-01 15:00:00,82.34277814365689,70.35185639940413,27.538878642809077,29.727501653024564,26.83367907212468,29.85293963943927,30.00078974964234,29.99044825671673,25.333002856998252,25.322661364072648
2006-Jan-01 16:00:00,80.82840829474648,67.17582807454018,27.78118527800918,30.439196847032388,27.183119940102056,30.5842864027166,29.825789749642343,29.81544825671673,25.174013705294172,25.163672212368557
2006-Jan-01 17:00:00,79.53903437468355,65.26815050934896,27.93557824332324,30.804426081361175,27.44843180483349,30.952678527710884,29.467456416309005,29.457114923383397,25.038736156488426,25.02839466356281
2006-Jan-01 18:00:00,79.0180647947798,64.80768794038512,27.97957967813315,30.849595191095045,27.57755727694277,30.976254455836067,29.12578974964234,29.11544825671673,24.861924109273414,24.8515826163478
