Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,80.8721887999235,26.745218877961623,26.678410691451973,24.642235416406052,23.29122127146474
2006-Jan-01 02:00:00,83.43759102217517,26.385035109095668,26.36835708592888,23.98390208307272,23.241006107639297
2006-Jan-01 03:00:00,84.97576788136523,26.093663576854837,26.042560710012534,23.84223541640605,23.17444073872382
2006-Jan-01 04:00:00,86.553334191617,25.788676411168197,25.71087752460239,23.74223541640605,23.127755291400092
2006-Jan-01 05:00:00,87.96160842873802,25.467504425718477,25.37790126435796,23.583902083072715,23.043604137027216
2006-Jan-01 06:00:00,89.40596388896647,25.138926687822373,25.042057147725725,23.44223541640605,22.954934040725718
2006-Jan-01 07:00:00,90.94753632327115,24.828839230890477,24.707253362886917,24.042235416406047,23.180646884877717
2006-Jan-01 08:00:00,92.15508753965518,24.71165052331051,24.43330696528049,25.200568749739386,23.66050965719963
2006-Jan-01 09:00:00,93.08014922743354,24.74373994275456,24.310309432360594,26.342235416406055,24.15588070527671
2006-Jan-01 10:00:00,92.70438335824133,25.020277433470596,24.42183218010619,27.442235416406053,24.540870930053085
2006-Jan-01 11:00:00,90.43297362349851,25.595485763016587,24.800380302350614,28.483902083072717,24.939003715604404
2006-Jan-01 12:00:00,88.06593765649312,26.263369008676904,25.39476914215243,29.542235416406047,25.35061722872935
2006-Jan-01 13:00:00,86.02348137019885,26.820028142335186,26.088813883716956,30.000568749739386,25.49959767706366
2006-Jan-01 14:00:00,83.44349713311054,27.375590700957318,26.81048258706964,30.000568749739386,25.402587903952497
2006-Jan-01 15:00:00,80.24858233430922,27.97329247977285,27.521252869391976,30.000568749739386,25.3327818570953
2006-Jan-01 16:00:00,77.75422080206283,28.449797645031197,28.076260374287546,29.82556874973938,25.17379270539121
2006-Jan-01 17:00:00,75.94041010198119,28.7430163671696,28.440591768239702,29.467235416406044,25.038515156585465
2006-Jan-01 18:00:00,75.42233516535957,28.797494608653988,28.539368582038747,29.125568749739386,24.861703109370456
2006-Jan-01 19:00:00,75.35704455159531,28.66221925520297,28.401008764532616,28.533902083072718,24.595480953322678
2006-Jan-01 20:00:00,76.52491778185892,28.32411996672865,28.157575554489526,27.792235416406054,24.458829373974442
2006-Jan-01 21:00:00,78.22996620291555,27.989807020826905,27.88381001545875,27.033902083072718,24.337872520753432
2006-Jan-01 22:00:00,79.54648475410649,27.681218295561393,27.596748193572,26.467235416406044,24.041724133147863
2006-Jan-01 23:00:00,79.83215541464462,27.411499868237854,27.305513861364304,26.06723541640605,23.744113489685635
2006-Jan-02 00:00:00,79.89677526919168,27.1369087971788,27.017764494982632,25.608902083072717,23.366732056258485
2006-Jan-02 01:00:00,79.42276004039873,26.86356964349574,26.734761849476342,25.167235416406047,22.947351251067985
2006-Jan-02 02:00:00,78.98726937443111,26.607929339496682,26.453590937710462,25.000568749739383,22.788769368134748
2006-Jan-02 03:00:00,80.2698587343637,26.369083058590107,26.173289185047253,25.000568749739383,23.25846127972847
2006-Jan-02 04:00:00,82.80119661152455,26.140059171843305,25.917418043869805,25.000568749739383,23.124757454962346
2006-Jan-02 05:00:00,83.53592585204719,25.867823216090233,25.689499088734735,24.417235416406047,23.07370461169422
2006-Jan-02 06:00:00,86.22918938273362,25.630273527327017,25.459931448173876,24.350568749739384,23.303734168164954
2006-Jan-02 07:00:00,87.90724930977801,25.446242893264312,25.248307160646338,24.833902083072715,23.484053854761957
2006-Jan-02 08:00:00,89.00043471543283,25.38059761262301,25.076128286702243,25.583902083072715,23.76330007387946
2006-Jan-02 09:00:00,89.29883482181356,25.391291382027322,25.009947886382378,26.000568749739383,23.879800496872075
2006-Jan-02 10:00:00,88.55305475258642,25.547965897997866,25.102886750413628,26.58390208307272,24.023220518375144
2006-Jan-02 11:00:00,86.30948136780283,25.938292120094065,25.343250937268987,27.52556874973938,24.177001442721586
2006-Jan-02 12:00:00,83.60018379167705,26.341988773615213,25.688091526366353,28.425568749739387,24.23963803062841
2006-Jan-02 13:00:00,80.45153118629027,26.91852708864766,26.196525016778185,30.083902083072715,24.822897279653105
2006-Jan-02 14:00:00,77.56763275220302,27.574019718640994,26.843301006987446,31.000568749739383,24.797317014992995
2006-Jan-02 15:00:00,73.8867179940364,28.011465051373275,27.42225675156961,30.592235416406044,24.351611587339878
2006-Jan-02 16:00:00,71.45739569108996,28.325910300451245,27.877757549649743,29.95056874973938,24.13842368524851
2006-Jan-02 17:00:00,70.46086683746135,28.476132249375997,28.13278585463252,29.292235416406054,23.993049997000103
2006-Jan-02 18:00:00,70.16618634823384,28.462287864132843,28.194718230192333,28.767235416406052,23.63796033716663
2006-Jan-02 19:00:00,69.76858444335737,28.3044449867806,28.025211996546037,28.133902083072723,23.38028209832484
2006-Jan-02 20:00:00,71.41388758531275,27.913846755923974,27.73168750243197,27.33390208307272,23.369454791853084
2006-Jan-02 21:00:00,73.53107111558539,27.573053772087558,27.423245323693298,26.708902083072715,23.283632726261573
2006-Jan-02 22:00:00,75.13608728159376,27.284414407035314,27.118872947114976,26.20890208307272,23.195005537406875
2006-Jan-02 23:00:00,77.69696875245724,26.958923463204595,26.810242428182168,25.417235416406054,23.43059485091024
2006-Jan-03 00:00:00,80.98397488467708,26.68361068986143,26.489761177526848,25.350568749739384,23.539550787759847
2006-Jan-03 01:00:00,82.73174767454519,26.42695162198112,26.185039063900263,25.250568749739383,23.55495576549693
2006-Jan-03 02:00:00,85.20046346266899,26.0822384774098,25.843271247585736,25.000568749739383,23.590897415553354
2006-Jan-03 03:00:00,86.04973091256905,25.807366733422537,25.54848346780241,25.000568749739383,23.124757454962346
